Word,Exercise Type,Question,Correct Answer,Options,Explanation
bevestigen,Fill in Blank,Ik _____ de afspraak.,bevestigen,bevestigen;bevestig;bevestige;bevestigt,I confirm the appointment.
opgelucht,Multiple Choice,What does opgelucht mean?,Relieved,Relieved;annoyed;limited;spent,Opgelucht means relieved or feeling better after a worry.
opgelucht,Sentence Building,Translate I am relieved,ik ben opgelucht,ik;ben;opgelucht,I am relieved.
verbaasd,Multiple Choice,What does verbaasd mean?,surprised,surprised;relieved;limited;spent,Verbaasd means surprised or amazed.
verbaasd,Fill in Blank,Ik ben _____ door het nieuws.,verbaasd,verbaasd;verbaas;verbazen;verbaast,I am surprised by the news.
verdacht,Multiple Choice,What does verdacht mean?,suspicious,suspicious;surprised;relieved;limited,Verdacht means suspicious or suspect.
verdacht,Sentence Building,Translate It seems suspicious,het lijkt verdacht,het;lijkt;verdacht,It seems suspicious.
gierig,Multiple Choice,What does gierig mean?,Stingy/Greedy,Stingy/Greedy;generous;surprised;relieved,Gierig means stingy or greedy.
gierig,Fill in Blank,Hij is erg _____.,gierig,gierig;gierige;gierigheid;gieriger,He is very stingy.
Gul,Multiple Choice,What does Gul mean?,Generous,Generous;stingy;surprised;relieved,Gul means generous or giving.
Gul,Sentence Building,Translate He is generous,hij is gul,hij;is;gul,He is generous.
biljet,Multiple Choice,What does biljet mean?,Ticket/Bank Note,Ticket/Bank Note;coin;fuel;bride,Biljet means a ticket or banknote.
biljet,Fill in Blank,Ik heb een _____ van 50 euro.,biljet,biljet;munt;saldo;rente,I have a 50 euro note.
brandstof,Multiple Choice,What does brandstof mean?,Fuel,Fuel;bill;bride;money,Brandstof means fuel (for vehicles).
brandstof,Sentence Building,Translate The fuel is expensive,de brandstof is duur,de;brandstof;is;duur,The fuel is expensive.
hypotheek,Multiple Choice,What does hypotheek mean?,Mortgage,Mortgage;fuel;bill;money,Hypotheek means mortgage (loan for house).
hypotheek,Fill in Blank,De _____ is hoog.,hypotheek,hypotheek;rente;saldo;biljet,The mortgage is high.
rente,Multiple Choice,What does rente mean?,interest,interest;mortgage;fuel;bill,Rente means interest (on money).
rente,Sentence Building,Translate The interest is low,de rente is laag,de;rente;is;laag,The interest is low.
saldo,Multiple Choice,What does saldo mean?,balance,balance;interest;mortgage;fuel,Saldo means balance (bank account).
saldo,Fill in Blank,Mijn _____ is positief.,saldo,saldo;rente;hypotheek;biljet,My balance is positive.
Rood Staan,Multiple Choice,What does Rood Staan mean?,to be overdrawn,to be overdrawn;positive balance;high interest;low balance,Rood Staan means to be overdrawn (negative balance).
Rood Staan,Sentence Building,Translate I am overdrawn,ik sta rood,ik;sta;rood,I am overdrawn.
schuldig,Multiple Choice,What does schuldig mean?,guilty/owe,guilty/owe;balance;interest;mortgage,Schuldig means guilty or to owe money.
schuldig,Fill in Blank,Ik ben _____ geld.,schuldig,schuldig;schuld;schulden;schuldigheid,I owe money.
uitgaven,Multiple Choice,What does uitgaven mean?,expenses,expenses;income;balance;interest,Uitgaven means expenses or spending.
uitgaven,Sentence Building,Translate The expenses are high,de uitgaven zijn hoog,de;uitgaven;zijn;hoog,The expenses are high.
vaste lasten,Multiple Choice,What does vaste lasten mean?,fixed costs,fixed costs;variable costs;income;expenses,Vaste lasten means fixed costs (regular expenses).
vaste lasten,Fill in Blank,De _____ zijn maandelijks.,vaste lasten,vaste lasten;uitgaven;inkomen;saldo,The fixed costs are monthly.
Zakgeld,Multiple Choice,What does Zakgeld mean?,pocket money,pocket money;salary;expenses;balance,Zakgeld means pocket money (allowance).
Zakgeld,Sentence Building,Translate I receive pocket money,ik krijg zakgeld,ik;krijg;zakgeld,I receive pocket money.
bruid,Multiple Choice,What does bruid mean?,bride,bride;groom;wedding;family,Bruid means bride (woman getting married).
bruid,Fill in Blank,De _____ is mooi.,bruid,bruid;bruidegom;bruiloft;familie,The bride is beautiful.
erfenis,Multiple Choice,What does erfenis mean?,Inheritance,Inheritance;wedding;family;bride,Erfenis means inheritance (money/property from deceased).
erfenis,Sentence Building,Translate I receive an inheritance,ik krijg een erfenis,ik;krijg;een;erfenis,I receive an inheritance.
kinderbijslag,Multiple Choice,What does kinderbijslag mean?,Child benefit / allowance,Child benefit / allowance;child care;family allowance;tax credit,Kinderbijslag means child benefit (government payment).
kinderbijslag,Fill in Blank,De _____ is maandelijks.,kinderbijslag,kinderbijslag;kinderopvang;erfenis;familie,The child benefit is monthly.
kinderopvang,Multiple Choice,What does kinderopvang mean?,Day care,Day care;child benefit;family;school,Kinderopvang means day care (childcare).
kinderopvang,Sentence Building,Translate The day care is expensive,de kinderopvang is duur,de;kinderopvang;is;duur,The day care is expensive.
toeslag,Multiple Choice,What does toeslag mean?,allowance/supplement,allowance/supplement;tax;salary;expense,Toeslag means allowance or supplement (extra payment).
toeslag,Fill in Blank,Ik krijg een _____.,toeslag,toeslag;salaris;belasting;uitkering,I receive an allowance.
Verlof,Multiple Choice,What does Verlof mean?,leave/vacation,leave/vacation;work;salary;holiday,Verlof means leave or vacation time.
Verlof,Sentence Building,Translate I have leave/vacation,ik heb verlof,ik;heb;verlof,I have leave/vacation.
Verlof,Multiple Choice,What does Verlof mean?,leave/vacation,leave/vacation;work;salary;holiday,Verlof means leave or vacation time.
Verlof,Sentence Building,Translate I have leave/vacation,ik heb verlof,ik;heb;verlof,I have leave/vacation.
dwingen,Multiple Choice,What does dwingen mean?,Force,Force;to recommend;to spend;to realize,Dwingen means to force or compel someone.
dwingen,Fill in Blank,Ik _____ hem niet.,dwingen,dwingen;dwing;dwingt;gedwongen,I don't force him.
eisen,Multiple Choice,What does eisen mean?,Demand,Demand;to force;to spend;to realize,Eisen means to demand or require something.
eisen,Sentence Building,Translate I demand respect,ik eis respect,ik;eis;respect,I demand respect.
gebeurtenis,Multiple Choice,What does gebeurtenis mean?,Event,Event;event;work;activity;meeting,Gebeurtenis means event.
gebeurtenis,Fill in Blank,Het is een belangrijke _____.,gebeurtenis,gebeurtenis;werk;activiteit;vergadering,It is an important event.
hovenier,Multiple Choice,What does hovenier mean?,Gardener,Gardener;farmer;worker;teacher,Hovenier means gardener (person who works with gardens).
hovenier,Sentence Building,Translate The gardener works hard,de hovenier werkt hard,de;hovenier;werkt;hard,The gardener works hard.
inzamelen,Multiple Choice,What does inzamelen mean?,Collect,Collect;to work;to spend;to earn,Inzamelen means to collect or gather (often money).
inzamelen,Fill in Blank,Wij _____ geld voor een goed doel.,inzamelen,inzamelen;zamelen;verzamelen;collecteren,We collect money for a good cause.
noteren,Multiple Choice,What does noteren mean?,Write down,Write down;to collect;to work;to spend,Noteren means to write down or note down.
noteren,Sentence Building,Translate I write it down,ik noteer het,ik;noteer;het,I write it down.
overmaken,Multiple Choice,What does overmaken mean?,Transfer,Transfer;to collect;to work;to spend,Overmaken means to transfer (money).
overmaken,Fill in Blank,Ik _____ geld naar je rekening.,overmaken,overmaken;maak;transfer;storten,I transfer money to your account.
trakteren,Multiple Choice,What does trakteren mean?,to treat,to treat;to work;to collect;to spend,Trakteren means to treat (pay for someone).
trakteren,Sentence Building,Translate I treat you,ik trakteer je,ik;trakteer;je,I treat you.
uitzoeken,Multiple Choice,What does uitzoeken mean?,to figure out,to figure out;to work;to collect;to spend,Uitzoeken means to figure out or investigate.
uitzoeken,Fill in Blank,Ik _____ het probleem.,uitzoeken,uitzoeken;zoek;onderzoek;vind,I figure out the problem.
werkzaamheden,Multiple Choice,What does werkzaamheden mean?,activities/work,activities/work;work;meetings;projects,Werkzaamheden means activities or work tasks.
werkzaamheden,Sentence Building,Translate The work activities are finished,de werkzaamheden zijn klaar,de;werkzaamheden;zijn;klaar,The work activities are finished.
daarnaast,Multiple Choice,What does daarnaast mean?,In addition,In addition;besides;nowadays;usually;recently,Daarnaast means in addition or besides.
daarnaast,Fill in Blank,_____ werk ik ook.,Daarnaast,Daarnaast;Tegenwoordig;Gewoonlijk;Recent,In addition.
dagelijkse,Multiple Choice,What does dagelijkse mean?,Daily,Daily;weekly;monthly;yearly,Dagelijkse means daily or everyday.
dagelijkse,Sentence Building,Translate It is daily routine,het is dagelijkse routine,het;is;dagelijkse;routine,It is daily routine.
eenmalig,Multiple Choice,What does eenmalig mean?,One time,One time;daily;weekly;monthly,Eenmalig means one time or single occurrence.
eenmalig,Fill in Blank,Het is een _____ betaling.,eenmalig,eenmalig;dagelijks;wekelijks;maandelijks,It is a one-time payment.
gewoonlijk,Multiple Choice,What does gewoonlijk mean?,Usually/Normally,Usually/Normally;sometimes;never;always,Gewoonlijk means usually or normally.
gewoonlijk,Sentence Building,Translate I usually go to bed early,ik ga gewoonlijk vroeg naar bed,ik;ga;gewoonlijk;vroeg;naar;bed,I usually go to bed early.
goedkomen,Multiple Choice,What does goedkomen mean?,It will be fine,It will be fine;to come;to arrive;to leave,Goedkomen means it will be fine or work out well.
goedkomen,Fill in Blank,Hopelijk _____ het goed.,goedkomen,goedkomen;komt;werkt;loopt,Hopefully it will be fine.
gracht,Multiple Choice,What does gracht mean?,Canal,Canal;river;lake;sea,Gracht means canal (waterway in cities).
gracht,Sentence Building,Translate The canal is beautiful,de gracht is mooi,de;gracht;is;mooi,The canal is beautiful.
hartstikke,Multiple Choice,What does hartstikke mean?,Very / Really / Extremely,Very / Really / Extremely;always;sometimes;never,Hartstikke means very / really / or extremely.
hartstikke,Fill in Blank,Het is _____ leuk.,hartstikke,hartstikke;heel;erg;zeer,It is really fun.
inmiddels,Multiple Choice,What does inmiddels mean?,In the meantime,In the meantime;nowadays;usually;recently,Inmiddels means in the meantime or by now.
inmiddels,Sentence Building,Translate In the meantime it is ready,inmiddels is het klaar,inmiddels;is;het;klaar,In the meantime it is ready.
kritiek,Multiple Choice,What does kritiek mean?,Criticism,Criticism;praise;comment;review,Kritiek means criticism or critical feedback.
kritiek,Fill in Blank,De _____ is terecht.,kritiek,kritiek;lof;commentaar;recensie,The criticism is justified.
kwijtraken,Multiple Choice,What does kwijtraken mean?,Get rid of / to lose something,Get rid of / to lose something;to find;to keep;to save,Kwijtraken means to get rid of or lose something.
kwijtraken,Fill in Blank,Ik _____ mijn sleutels.,kwijtraken,kwijtraken;verlies;zoek;vind,I lose my keys.
lasten,Multiple Choice,What does lasten mean?,Burdens,Burdens;income;expenses;money,Lasten means burdens or costs (financial pressure).
lasten,Fill in Blank,De _____ zijn hoog.,lasten,lasten;inkomen;uitgaven;geld,The burdens are high.
Munt,Multiple Choice,What does Munt mean?,Coin,Coin;bill;money;currency,Munt means coin (metal money).
Munt,Sentence Building,Translate I have a coin,ik heb een munt,ik;heb;een;munt,I have a coin.
namens,Multiple Choice,What does namens mean?,On behalf of,On behalf of;for;with;by,Namens means on behalf of or representing someone.
namens,Fill in Blank,Ik spreek _____ de groep.,namens,namens;voor;met;door,I speak on behalf of the group.
overhouden,Multiple Choice,What does overhouden mean?,Have left,Have left;to spend;to save;to earn,Overhouden means to have left over or remain.
overhouden,Fill in Blank,Ik _____ geld.,overhouden,overhouden;houd;spaar;verdien,I have money left over.
overvallen,Multiple Choice,What does overvallen mean?,Rob/Take by surprise,Rob/Take by surprise;to visit;to help;to call,Overvallen means to rob or take by surprise.
overvallen,Fill in Blank,Ze _____ de bank.,overvallen,overvallen;bezoeken;helpen;bellen,They rob the bank.
overzicht,Multiple Choice,What does overzicht mean?,Overview,Overview;detail;summary;list,Overzicht means overview or summary.
overzicht,Sentence Building,Translate I give an overview,ik geef een overzicht,ik;geef;een;overzicht,I give an overview.
pech,Multiple Choice,What does pech mean?,Bad luck,Bad luck;good luck;chance;fortune,Pech means bad luck or misfortune.
pech,Fill in Blank,Wat een _____!,pech,pech;geluk;kans;fortuin,What bad luck!
schutting,Multiple Choice,What does schutting mean?,fence,fence;wall;gate;door,Schutting means fence (garden fence).
schutting,Sentence Building,Translate The fence is high,de schutting is hoog,de;schutting;is;hoog,The fence is high.
sfeer,Multiple Choice,What does sfeer mean?,atmosphere,atmosphere;weather;mood;feeling,Sfeer means atmosphere or mood.
sfeer,Fill in Blank,De _____ is gezellig.,sfeer,sfeer;weer;stemming;gevoel,The atmosphere is cozy.
tegenwoordig,Multiple Choice,What does tegenwoordig mean?,nowadays,nowadays;usually;recently;always,Tegenwoordig means nowadays or these days.
tegenwoordig,Sentence Building,Translate Nowadays I work from home,tegenwoordig werk ik thuis,tegenwoordig;werk;ik;thuis,Nowadays I work from home.
terecht,Multiple Choice,What does terecht mean?,justified,justified;wrong;correct;right,Terecht means justified or deserved.
terecht,Fill in Blank,De kritiek is _____.,terecht,terecht;onterecht;goed;slecht,The criticism is justified.
verantwoordelijk,Multiple Choice,What does verantwoordelijk mean?,responsible,responsible;guilty;wrong;right,Verantwoordelijk means responsible or accountable.
verantwoordelijk,Fill in Blank,Ik ben _____.,verantwoordelijk,verantwoordelijk;schuldig;fout;goed,I am responsible.
verlopen,Multiple Choice,What does verlopen mean?,to expire,to expire;to start;to continue;to finish,Verlopen means to expire or run out.
verlopen,Fill in Blank,Het contract is _____.,verlopen,verlopen;gestart;gecontinueerd;gefinishd,The contract has expired.
verzekering,Multiple Choice,What does verzekering mean?,insurance,insurance;guarantee;promise;contract,Verzekering means insurance (protection).
verzekering,Sentence Building,Translate I have insurance,ik heb een verzekering,ik;heb;een;verzekering,I have insurance.
verzoek,Multiple Choice,What does verzoek mean?,request,request;demand;order;command,Verzoek means request or plea.
verzoek,Fill in Blank,Ik doe een _____.,verzoek,verzoek;eis;bevel;commando,I make a request.
zich,Multiple Choice,What does zich mean?,oneself,oneself;himself;herself;themselves,Zich means oneself or reflexive pronoun.
zich,Sentence Building,Translate I wash myself,ik was me,ik;was;me,I wash myself.
zinloos,Multiple Choice,What does zinloos mean?,pointless,pointless;useful;helpful;good,Zinloos means pointless or meaningless.
zinloos,Fill in Blank,Het is _____.,zinloos,zinloos;nuttig;helpvol;goed,It is pointless.
bovendien,Multiple Choice,What does bovendien mean?,moreover / besides|additionally|however|therefore,moreover / besides|additionally|however|therefore,Used to add additional information to what was already said
bovendien,Multiple Choice,Translate: Bovendien is het een goede kwaliteit.,Moreover it is a good quality|Besides it is a good quality|Additionally it is a good quality|However it is a good quality,Moreover it is a good quality|Besides it is a good quality|Additionally it is a good quality|However it is a good quality,Used to add extra information
daarvoor,Multiple Choice,What does daarvoor mean?,beforehand|afterwards|during|meanwhile,beforehand|afterwards|during|meanwhile,Means before that or beforehand
daarvoor,Fill in Blank,Ik heb _____ al gewaarschuwd.,daarvoor|daarna|daartussen|daarnaast,daarvoor|daarna|daartussen|daarnaast,Used to indicate something happened before a specific event
fysiek,Multiple Choice,What does fysiek mean?,physical|mental|emotional|spiritual,physical|mental|emotional|spiritual,Related to the body or physical activity
fysiek,Multiple Choice,Translate: Het is een fysiek zware baan.,It is a physically heavy job|It is a mentally heavy job|It is an emotionally heavy job|It is a spiritually heavy job,It is a physically heavy job|It is a mentally heavy job|It is an emotionally heavy job|It is a spiritually heavy job,Describes physical characteristics or requirements
persoonlijkheid,Multiple Choice,What does persoonlijkheid mean?,personality|character|behavior|attitude,personality|character|behavior|attitude,Character traits of a person
persoonlijkheid,Fill in Blank,Zijn _____ past goed bij het team.,persoonlijkheid|karakter|gedrag|houding,persoonlijkheid|karakter|gedrag|houding,Refers to someone's individual character traits
stressbestendig,Multiple Choice,What does stressbestendig mean?,stress resistant|stressful|stressed|stressful situation,stress resistant|stressful|stressed|stressful situation,Able to handle stress well
stressbestendig,Multiple Choice,Translate: Ze is erg stressbestendig in moeilijke situaties.,She is very stress resistant in difficult situations|She is very stressed in difficult situations|She is very stressful in difficult situations|She is very stress free in difficult situations,She is very stress resistant in difficult situations|She is very stressed in difficult situations|She is very stressful in difficult situations|She is very stress free in difficult situations,Describes ability to handle pressure
vaardigheid,Multiple Choice,What does vaardigheid mean?,skill / ability|knowledge|experience|talent,skill / ability|knowledge|experience|talent,A learned ability or competence
vaardigheid,Fill in Blank,Ze heeft uitstekende communicatieve _____.,vaardigheden|kennis|ervaring|talenten,vaardigheden|kennis|ervaring|talenten,Plural form of skill/ability
vestiging,Multiple Choice,What does vestiging mean?,branch / establishment|building|office|company,branch / establishment|building|office|company,A business location or branch
vestiging,Multiple Choice,Translate: De nieuwe vestiging opent volgende week.,The new branch opens next week|The new building opens next week|The new office opens next week|The new company opens next week,The new branch opens next week|The new building opens next week|The new office opens next week|The new company opens next week,Refers to a business location
flexibel,Multiple Choice,What does flexibel mean?,flexible|rigid|strict|fixed,flexible|rigid|strict|fixed,Able to adapt or change easily
flexibel,Fill in Blank,We hebben een _____ werkschema.,flexibel|rigide|streng|vast,flexibel|rigide|streng|vast,Describes adaptability in work arrangements
gemotiveerd,Multiple Choice,What does gemotiveerd mean?,motivated|demotivated|uninterested|lazy,motivated|demotivated|uninterested|lazy,Having strong drive or enthusiasm
gemotiveerd,Multiple Choice,Translate: De kandidaten zijn erg gemotiveerd.,The candidates are very motivated|The candidates are very demotivated|The candidates are very uninterested|The candidates are very lazy,The candidates are very motivated|The candidates are very demotivated|The candidates are very uninterested|The candidates are very lazy,Describes someone's enthusiasm and drive
kandidaat,Multiple Choice,What does kandidaat mean?,candidate|applicant|employee|worker,candidate|applicant|employee|worker,A person applying for a position
kandidaat,Fill in Blank,Er zijn veel _____ voor deze functie.,kandidaten|sollicitanten|werknemers|medewerkers,kandidaten|sollicitanten|werknemers|medewerkers,Plural form of candidate
kwaliteit,Multiple Choice,What does kwaliteit mean?,quality|quantity|price|value,quality|quantity|price|value,The standard or level of excellence
kwaliteit,Multiple Choice,Translate: De kwaliteit van het werk is uitstekend.,The quality of the work is excellent|The quantity of the work is excellent|The price of the work is excellent|The value of the work is excellent,The quality of the work is excellent|The quantity of the work is excellent|The price of the work is excellent|The value of the work is excellent,Refers to the standard of something
magazijn,Multiple Choice,What does magazijn mean?,warehouse|store|shop|market,warehouse|store|shop|market,A storage building for goods
magazijn,Fill in Blank,Het _____ is vol met producten.,magazijn|winkel|winkel|markt,magazijn|winkel|winkel|markt,Refers to a storage facility
overtuigen,Multiple Choice,What does overtuigen mean?,convince|persuade|argue|discuss,convince|persuade|argue|discuss,To persuade someone
overtuigen,Multiple Choice,Translate: Ik probeer hem te overtuigen om te komen.,I try to convince him to come|I try to persuade him to come|I try to argue him to come|I try to discuss him to come,I try to convince him to come|I try to persuade him to come|I try to argue him to come|I try to discuss him to come,To persuade someone to do something
plannen,Multiple Choice,What does plannen mean?,plan|organize|arrange|prepare,plan|organize|arrange|prepare,To make arrangements or plans
plannen,Fill in Blank,We moeten de details nog _____.,plannen|organiseren|regelen|voorbereiden,plannen|organiseren|regelen|voorbereiden,To make plans or arrangements
praktisch,Multiple Choice,What does praktisch mean?,practical|theoretical|ideal|perfect,practical|theoretical|ideal|perfect,Useful and realistic
praktisch,Multiple Choice,Translate: Het is een praktische oplossing.,It is a practical solution|It is a theoretical solution|It is an ideal solution|It is a perfect solution,It is a practical solution|It is a theoretical solution|It is an ideal solution|It is a perfect solution,Describes something that is useful and realistic
toevoegen,Multiple Choice,What does toevoegen mean?,add / include|remove|subtract|exclude,add / include|remove|subtract|exclude,To add something to existing content
toevoegen,Fill in Blank,Ik ga wat informatie _____ aan het rapport.,toevoegen|verwijderen|aftrekken|uitsluiten,toevoegen|verwijderen|aftrekken|uitsluiten,To add information to something
uitstekend,Multiple Choice,What does uitstekend mean?,excellent|good|average|poor,excellent|good|average|poor,Very good or outstanding
uitstekend,Multiple Choice,Translate: Ze heeft een uitstekende prestatie geleverd.,She has delivered an excellent performance|She has delivered a good performance|She has delivered an average performance|She has delivered a poor performance,She has delivered an excellent performance|She has delivered a good performance|She has delivered an average performance|She has delivered a poor performance,Describes something of very high quality
voorkomen,Multiple Choice,What does voorkomen mean?,to prevent / to occur|to happen|to stop|to start,to prevent / to occur|to happen|to stop|to start,Can mean both prevent and occur depending on context
voorkomen,Fill in Blank,We moeten dit probleem _____.,voorkomen|gebeuren|stoppen|beginnen,voorkomen|gebeuren|stoppen|beginnen,To prevent something from happening
zo'n,Multiple Choice,What does zo'n mean?,such a|so much|so many|so little,such a|so much|so many|so little,Means such a or such an
zo'n,Multiple Choice,Translate: Zij is zo'n gemotiveerde werknemer.,She is such a motivated employee|She is so much motivated employee|She is so many motivated employee|She is so little motivated employee,She is such a motivated employee|She is so much motivated employee|She is so many motivated employee|She is so little motivated employee,Used to emphasize a quality
